latitude,longitude,elevation,time
35.404878,139.168998,286.0,2025-06-07 07:39:08
35.404877,139.168996,286.666667,2025-06-07 07:39:09
35.404747,139.168611,290.666667,2025-06-07 07:41:12
35.40423,139.167471,298.666667,2025-06-07 07:43:17
35.403822,139.165993,308.666667,2025-06-07 07:45:17
35.404688,139.164857,316.666667,2025-06-07 07:47:18
35.404935,139.163661,323.333333,2025-06-07 07:49:22
35.404983,139.162063,333.333333,2025-06-07 07:51:22
35.405746,139.161097,345.666667,2025-06-07 07:53:33
35.406624,139.160433,355.0,2025-06-07 07:55:35
35.406612,139.160299,358.333333,2025-06-07 07:57:36
35.405497,139.159873,363.0,2025-06-07 07:59:38
35.406578,139.159167,369.333333,2025-06-07 08:01:40
35.407475,139.157601,379.333333,2025-06-07 08:03:43
35.408049,139.156998,385.333333,2025-06-07 08:05:55
35.409271,139.1561,391.666667,2025-06-07 08:07:55
35.410549,139.156386,393.333333,2025-06-07 08:09:55
35.411423,139.156647,395.0,2025-06-07 08:11:57
35.412455,139.157362,397.666667,2025-06-07 08:13:57
35.413206,139.157095,406.333333,2025-06-07 08:16:00
35.414463,139.157401,418.666667,2025-06-07 08:18:04
35.415438,139.157817,431.666667,2025-06-07 08:20:05
35.416677,139.157985,442.666667,2025-06-07 08:22:07
35.417313,139.158259,450.0,2025-06-07 08:24:11
35.417511,139.158168,456.666667,2025-06-07 08:26:42
35.418106,139.159034,458.0,2025-06-07 08:28:44
35.419115,139.15854,460.0,2025-06-07 08:30:44
35.419491,139.157848,460.666667,2025-06-07 08:32:46
35.420204,139.158071,466.0,2025-06-07 08:34:47
35.421263,139.158939,472.666667,2025-06-07 08:36:52
35.42068,139.157376,479.666667,2025-06-07 08:38:55
35.421576,139.156798,483.666667,2025-06-07 08:40:58
35.422685,139.156818,489.333333,2025-06-07 08:43:00
35.423373,139.158079,494.0,2025-06-07 08:45:04
35.424685,139.157465,505.666667,2025-06-07 08:47:06
35.425182,139.156423,514.333333,2025-06-07 08:49:06
35.425345,139.155684,522.333333,2025-06-07 08:51:39
35.425344,139.155717,520.0,2025-06-07 08:53:40
35.425918,139.155644,520.333333,2025-06-07 08:55:40
35.42722,139.15563,523.0,2025-06-07 08:57:43
35.427113,139.155188,532.333333,2025-06-07 08:59:47
35.426528,139.154673,542.0,2025-06-07 09:01:51
35.427532,139.154017,553.666667,2025-06-07 09:03:55
35.427122,139.152617,569.666667,2025-06-07 09:05:57
35.428027,139.152104,581.333333,2025-06-07 09:07:58
35.428887,139.151767,591.0,2025-06-07 09:10:07
35.429977,139.151256,598.666667,2025-06-07 09:12:10
35.430921,139.15113,610.333333,2025-06-07 09:14:11
35.431545,139.150901,624.0,2025-06-07 09:16:13
35.431921,139.149767,635.0,2025-06-07 09:18:15
35.431808,139.14883,647.333333,2025-06-07 09:20:16
35.43148,139.148415,658.0,2025-06-07 09:22:19
35.431597,139.148121,678.666667,2025-06-07 09:24:24
35.431647,139.147232,698.333333,2025-06-07 09:26:26
35.431624,139.14672,722.333333,2025-06-07 09:28:30
35.431554,139.146029,742.0,2025-06-07 09:30:35
35.431522,139.145601,759.333333,2025-06-07 09:32:35
35.431237,139.144796,772.333333,2025-06-07 09:34:37
35.430926,139.144337,784.333333,2025-06-07 09:36:42
35.430917,139.143965,795.333333,2025-06-07 09:38:43
35.430819,139.143723,805.0,2025-06-07 09:40:50
35.430904,139.143718,807.666667,2025-06-07 09:42:51
35.430928,139.143705,810.0,2025-06-07 09:45:16
35.431016,139.143603,820.333333,2025-06-07 09:47:25
35.431379,139.143482,836.666667,2025-06-07 09:49:28
35.431764,139.143163,859.666667,2025-06-07 09:51:29
35.432146,139.142981,881.0,2025-06-07 09:53:33
35.432523,139.142974,902.333333,2025-06-07 09:55:36
35.433038,139.142895,922.333333,2025-06-07 09:57:37
35.433584,139.14287,938.0,2025-06-07 09:59:42
35.433936,139.142454,954.666667,2025-06-07 10:01:45
35.43431,139.142077,971.0,2025-06-07 10:03:46
35.434539,139.141775,990.333333,2025-06-07 10:05:48
35.434922,139.141525,1009.333333,2025-06-07 10:07:49
35.435458,139.141206,1026.0,2025-06-07 10:09:54
35.43578,139.141302,1039.333333,2025-06-07 10:11:59
35.43645,139.141405,1052.666667,2025-06-07 10:13:59
35.436895,139.141354,1070.666667,2025-06-07 10:16:03
35.437279,139.141339,1092.0,2025-06-07 10:18:03
35.437765,139.141599,1110.666667,2025-06-07 10:20:07
35.438275,139.14187,1125.333333,2025-06-07 10:22:08
35.438786,139.141853,1141.0,2025-06-07 10:24:11
35.439159,139.141805,1153.666667,2025-06-07 10:26:13
35.439328,139.141983,1167.0,2025-06-07 10:28:14
35.440038,139.142064,1179.0,2025-06-07 10:30:16
35.440665,139.141707,1195.666667,2025-06-07 10:32:19
35.441064,139.141595,1213.666667,2025-06-07 10:34:20
35.441704,139.14138,1226.666667,2025-06-07 10:36:24
35.442555,139.141201,1238.666667,2025-06-07 10:38:27
35.443134,139.141358,1250.0,2025-06-07 10:40:30
35.443608,139.141444,1262.0,2025-06-07 10:42:33
